"filename", "language", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "Markdown", "YAML", "comment", "blank", "total"
"e:\Fernando Herrera\Nest\distritosiete\src\denuncias\entities\denuncia.entity.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 13, 48
"e:\Fernando Herrera\Nest\distritosiete\src\desayunos\desayunos.controller.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 8, 44
"e:\Fernando Herrera\Nest\distritosiete\src\desayunos\desayunos.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"e:\Fernando Herrera\Nest\distritosiete\src\desayunos\desayunos.service.ts", "TypeScript", 0, 0, 0, 89, 0, 0, 0, 57, 146
"e:\Fernando Herrera\Nest\distritosiete\src\desayunos\dto\create-desayuno.dto.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 7, 42
"e:\Fernando Herrera\Nest\distritosiete\src\desayunos\dto\update-desayuno.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 1, 2, 6
"e:\Fernando Herrera\Nest\distritosiete\src\desayunos\entities\desayuno.entity.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 15, 55
"e:\Fernando Herrera\Nest\distritosiete\src\especialidades\dto\create-especialidade.dto.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 5, 14
"e:\Fernando Herrera\Nest\distritosiete\src\especialidades\dto\update-especialidade.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 2, 5
"e:\Fernando Herrera\Nest\distritosiete\src\especialidades\entities\especialidade.entity.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 7, 6, 37
"e:\Fernando Herrera\Nest\distritosiete\src\especialidades\especialidades.controller.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 5, 41
"e:\Fernando Herrera\Nest\distritosiete\src\especialidades\especialidades.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"e:\Fernando Herrera\Nest\distritosiete\src\especialidades\especialidades.service.ts", "TypeScript", 0, 0, 0, 86, 0, 0, 2, 58, 146
"e:\Fernando Herrera\Nest\distritosiete\src\files\files.controller.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 3, 9, 60
"e:\Fernando Herrera\Nest\distritosiete\src\files\files.module.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 2, 12
"e:\Fernando Herrera\Nest\distritosiete\src\files\files.service.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 4, 8
"e:\Fernando Herrera\Nest\distritosiete\src\files\helpers\fileFilter.helper.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 1, 6, 16
"e:\Fernando Herrera\Nest\distritosiete\src\gestiones\dto\create-gestione.dto.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 6, 34
"e:\Fernando Herrera\Nest\distritosiete\src\gestiones\dto\update-gestione.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 1, 3, 7
"e:\Fernando Herrera\Nest\distritosiete\src\gestiones\entities\gestione.entity.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 17, 64
"e:\Fernando Herrera\Nest\distritosiete\src\gestiones\gestiones.controller.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 8, 44
"e:\Fernando Herrera\Nest\distritosiete\src\gestiones\gestiones.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"e:\Fernando Herrera\Nest\distritosiete\src\gestiones\gestiones.service.ts", "TypeScript", 0, 0, 0, 85, 0, 0, 2, 55, 142
"e:\Fernando Herrera\Nest\distritosiete\src\googlevision\dto\safeSearch.dto.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 4, 15
"e:\Fernando Herrera\Nest\distritosiete\src\googlevision\dto\seach-labels.dto.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 5, 16
